Contest Name,Candidate Name,Party,Mail Ballots Votes,Vote Center Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Vote For
UNITED STATES REPRESENTATIVE 51ST DISTRICT,BILL WELLS,REP,14680.0,6215.0,208.0,20895.0,516.0,154.0,53732.0,
UNITED STATES REPRESENTATIVE 52ND DISTRICT,JUSTIN LEE,REP,20696.0,8761.0,294.0,29457.0,455.0,136.0,47380.0,1.0
UNITED STATES REPRESENTATIVE 52ND DISTRICT,JUAN VARGAS,DEM,12591.0,5331.0,179.0,17922.0,455.0,136.0,47380.0,
STATE SENATOR 39TH DISTRICT,BOB DIVINE,REP,27893.0,11808.0,397.0,39701.0,664.0,199.0,69144.0,1.0
STATE SENATOR 39TH DISTRICT,AKILAH WEBER,DEM,20685.0,8757.0,294.0,29442.0,664.0,199.0,69144.0,
MEMBER OF THE STATE ASSEMBLY 74TH DISTRICT (SAN DIEGO PORTION ONLY),LAURIE DAVIES,REP,9669.0,4094.0,137.0,13763.0,222.0,66.0,23117.0,1.0
MEMBER OF THE STATE ASSEMBLY 74TH DISTRICT (SAN DIEGO PORTION ONLY),CHRIS DUNCAN,DEM,6571.0,2782.0,93.0,9353.0,222.0,66.0,23117.0,
MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT,CARL DEMAIO,REP,23023.0,9746.0,327.0,32769.0,586.0,175.0,61021.0,1.0
MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT,ANDREW HAYES,REP,19848.0,8403.0,282.0,28251.0,586.0,175.0,61021.0,
MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT,DARSHANA PATEL,DEM,25704.0,10882.0,365.0,36586.0,554.0,166.0,57689.0,1.0
MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT,KRISTIE BRUCE-LANE,REP,14825.0,6277.0,211.0,21102.0,554.0,166.0,57689.0,
MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT,JAMES BROWNE,REP,16732.0,7084.0,238.0,23816.0,361.0,108.0,37592.0,1.0
MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT,TASHA BOERNER,DEM,9678.0,4097.0,137.0,13775.0,361.0,108.0,37592.0,
MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT,CHRIS WARD,DEM,22607.0,9570.0,321.0,32177.0,309.0,92.0,32177.0,1.0
MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT,COLIN PARENT,DEM,12373.0,5238.0,176.0,17611.0,321.0,96.0,33426.0,1.0
MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT,LASHAE SHARP-COLLINS,DEM,11110.0,4704.0,158.0,15814.0,321.0,96.0,33426.0,
MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT,DAVID A. ALVAREZ,DEM,14433.0,6111.0,205.0,20544.0,316.0,94.0,32906.0,1.0
MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT,MICHAEL W. WILLIAMS,REP,8684.0,3677.0,123.0,12361.0,316.0,94.0,32906.0,
COUNTY BOARD OF EDUCATION 1ST DISTRICT,GREGG ROBINSON,,26557.0,11243.0,378.0,37800.0,363.0,108.0,37800.0,1.0
COUNTY BOARD OF EDUCATION 2ND DISTRICT,GUADALUPE GONZÁLEZ,,31678.0,13411.0,450.0,45089.0,433.0,129.0,45089.0,1.0
COUNTY BOARD OF EDUCATION 4TH DISTRICT,ERIN EVANS,,34222.0,14487.0,487.0,48709.0,753.0,225.0,78412.0,1.0
COUNTY BOARD OF EDUCATION 4TH DISTRICT,SARAH SONG,,20868.0,8834.0,297.0,29702.0,753.0,225.0,78412.0,
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,LEE QUINN,,5197.0,2200.0,73.0,7397.0,134.0,40.0,13953.0,1.0
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,ELENA ADAMS,,4605.0,1950.0,65.0,6555.0,134.0,40.0,13953.0,
MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ANN CROSBIE,,2181.0,924.0,31.0,3105.0,51.0,15.0,5310.0,1.0
MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ALEXANDER THOMAS WELLS III,,1548.0,656.0,22.0,2204.0,51.0,15.0,5310.0,
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,YVETTE MARIE ACOSTA,,5875.0,2488.0,83.0,8363.0,150.0,45.0,15619.0,1.0
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,EDWARD POHLERT,,5097.0,2158.0,72.0,7255.0,150.0,45.0,15619.0,
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,HOLLY M. HAMILTON-BLEAKLEY,,10994.0,4654.0,156.0,15648.0,231.0,69.0,24054.0,1.0
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,AMI ADMIRE,,3028.0,1282.0,43.0,4310.0,231.0,69.0,24054.0,
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,MICHELLE RAINS,,2876.0,1218.0,40.0,4094.0,231.0,69.0,24054.0,
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D",MARIAH JAMESON,,5189.0,2198.0,73.0,7387.0,118.0,35.0,12287.0,1.0
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D",ANDREW GOMEZ II,,3441.0,1458.0,48.0,4899.0,118.0,35.0,12287.0,
SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,ERIKA LOWERY,,2383.0,1010.0,33.0,3393.0,58.0,17.0,6039.0,1.0
SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,"KRISTINE ""KRIS"" GALICIA BROWN",,1858.0,787.0,26.0,2645.0,58.0,17.0,6039.0,
BONSALL UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,LINDSAY  JONES,,637.0,271.0,9.0,908.0,14.0,4.0,1457.0,1.0
BONSALL UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,ERIC ORTEGA,,385.0,163.0,5.0,548.0,14.0,4.0,1457.0,
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,MARTHA DEICHLER,,175.0,75.0,2.0,250.0,5.0,1.0,520.0,3.0
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,STEVE DUNN,,153.0,66.0,2.0,219.0,5.0,1.0,520.0,
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,STEVE RIEHLE,,21.0,10.0,0.0,31.0,5.0,1.0,520.0,
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,PETER KELLNER,,12.0,6.0,0.0,18.0,5.0,1.0,520.0,
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,ALISON EMERY,,805.0,341.0,11.0,1146.0,18.0,5.0,1874.0,1.0
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JEN BELNAP,,510.0,217.0,7.0,727.0,18.0,5.0,1874.0,
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,EJEHAN TURKER,,693.0,294.0,9.0,987.0,16.0,4.0,1666.0,1.0
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,LAURA SIAOSI,,476.0,202.0,6.0,678.0,16.0,4.0,1666.0,
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,"FITZHUGH ""FITZ"" LEE",,382.0,162.0,5.0,544.0,9.0,2.0,937.0,2.0
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,RENEE CAVANAUGH,,162.0,69.0,2.0,231.0,9.0,2.0,937.0,
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,SHAWNEE BARTON MERRIMAN,,62.0,27.0,0.0,89.0,9.0,2.0,937.0,
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,BILL SANDKE,,50.0,22.0,0.0,72.0,9.0,2.0,937.0,
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,ELEANOR  EVANS,,1015.0,430.0,14.0,1445.0,23.0,6.0,2395.0,1.0
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,EMILY ORTIZ WICHMANN,,666.0,283.0,9.0,949.0,23.0,6.0,2395.0,
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ROSIE HIGUERA,,843.0,358.0,12.0,1201.0,18.0,5.0,1874.0,1.0
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,MIKE BLESSING,,472.0,200.0,6.0,672.0,18.0,5.0,1874.0,
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,TIM DOUGHERTY,,1762.0,746.0,25.0,2508.0,42.0,12.0,4373.0,1.0
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,DEVESH VASHISHTHA,,1309.0,555.0,18.0,1864.0,42.0,12.0,4373.0,
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,CRAIG POND,,1486.0,630.0,21.0,2116.0,31.0,9.0,3228.0,1.0
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,DAVID CHENG,,740.0,314.0,10.0,1054.0,31.0,9.0,3228.0,
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,CINDY SYTSMA,,40.0,17.0,0.0,57.0,31.0,9.0,3228.0,
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,DAWN PERFECT,,201.0,86.0,2.0,287.0,5.0,1.0,520.0,1.0
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,STEPHANIE COOTER,,162.0,70.0,2.0,232.0,5.0,1.0,520.0,
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,DARYN DRUM,,218.0,93.0,3.0,311.0,5.0,1.0,520.0,1.0
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,JOHN RAJCIC,,146.0,62.0,2.0,208.0,5.0,1.0,520.0,
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A",CRYSTAL TRULL,,5291.0,2241.0,75.0,7532.0,126.0,37.0,13120.0,1.0
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A",SABRINA BAZZO,,3925.0,1662.0,55.0,5587.0,126.0,37.0,13120.0,
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D",RICHARD BARRERA,,9290.0,3934.0,132.0,13224.0,127.0,38.0,13224.0,1.0
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E",SHARON D. WHITEHURST-PAYNE,,8120.0,3438.0,115.0,11558.0,111.0,33.0,11558.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,HEIDI HERRICK,,1731.0,734.0,24.0,2465.0,41.0,12.0,4269.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,CARLOS ULLOA,,1266.0,537.0,18.0,1803.0,41.0,12.0,4269.0,
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B,SARAH AHMAD,,1470.0,623.0,20.0,2093.0,34.0,10.0,3540.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B,BRITTANY BOWER,,1015.0,431.0,14.0,1446.0,34.0,10.0,3540.0,
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D,LENA LAUER MEUM,,1233.0,523.0,17.0,1756.0,31.0,9.0,3228.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D,JAIME CHAMBERLIN,,1033.0,438.0,14.0,1471.0,31.0,9.0,3228.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,MIKE MARKOV,,1837.0,778.0,26.0,2615.0,41.0,12.0,4269.0,1.0
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,"AMANDA ""MANDY"" REMMEN",,1161.0,492.0,16.0,1653.0,41.0,12.0,4269.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,ZULEMA GOMEZ,,725.0,307.0,10.0,1032.0,21.0,6.0,2186.0,1.0
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,CIPRIANO VARGAS,,660.0,280.0,9.0,940.0,21.0,6.0,2186.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,FRANK NUNEZ,,149.0,64.0,2.0,213.0,21.0,6.0,2186.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,SUE MARTIN,,1406.0,596.0,20.0,2002.0,32.0,9.0,3332.0,1.0
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,"ANTHONY ""TJ"" CROSSMAN",,933.0,396.0,13.0,1329.0,32.0,9.0,3332.0,
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,GENE DOXEY,,174.0,74.0,2.0,248.0,6.0,1.0,624.0,3.0
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,DEBORAH CASTEEL,,135.0,58.0,1.0,193.0,6.0,1.0,624.0,
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,MELISSA KROGH,,113.0,48.0,1.0,161.0,6.0,1.0,624.0,
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,MELODY SEES,,13.0,6.0,0.0,19.0,6.0,1.0,624.0,
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,CLAY BROWN,,2107.0,893.0,30.0,3000.0,53.0,15.0,5519.0,1.0
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,CHRISTI  KNIGHT,,1769.0,749.0,25.0,2518.0,53.0,15.0,5519.0,
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,DARA CZERWONKA,,2592.0,1098.0,36.0,3690.0,55.0,16.0,5727.0,1.0
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,RYAN S. WILLIAMS,,1430.0,606.0,20.0,2036.0,55.0,16.0,5727.0,
FALLBROOK UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,JOSHUA TILLER,,344.0,146.0,4.0,490.0,9.0,2.0,937.0,1.0
FALLBROOK UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,OSCAR CARALAMPIO,,313.0,133.0,4.0,446.0,9.0,2.0,937.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,CHRIS FITE,,4018.0,1702.0,57.0,5720.0,76.0,22.0,7914.0,1.0
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,RANDALL DEAR,,963.0,409.0,13.0,1372.0,76.0,22.0,7914.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,DEBRA HARRINGTON,,448.0,190.0,6.0,638.0,76.0,22.0,7914.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,AZURE CHRISAWN,,128.0,55.0,1.0,183.0,76.0,22.0,7914.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,SCOTT ECKERT,,2166.0,918.0,30.0,3084.0,79.0,23.0,8226.0,1.0
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,MARSHA J. CHRISTMAN,,1859.0,787.0,26.0,2646.0,79.0,23.0,8226.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JIM STIERINGER,,1625.0,688.0,23.0,2313.0,79.0,23.0,8226.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JAY STEIGER,,127.0,54.0,1.0,181.0,79.0,23.0,8226.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,ERIK FLEET,,630.0,268.0,8.0,898.0,19.0,5.0,1978.0,2.0
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,CAROL M. FRAUSTO,,391.0,166.0,5.0,557.0,19.0,5.0,1978.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,BRITNI A MUSHET,,150.0,64.0,2.0,214.0,19.0,5.0,1978.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,MIKE CHARLONNE,,120.0,52.0,1.0,172.0,19.0,5.0,1978.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,ADRYENN CANTOR,,94.0,41.0,1.0,135.0,19.0,5.0,1978.0,
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,KELLY FRIIS,,2420.0,1025.0,34.0,3445.0,54.0,16.0,5623.0,1.0
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JODIE WILLIAMS,,1529.0,648.0,21.0,2177.0,54.0,16.0,5623.0,
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,MICHAEL ALLMAN,,1277.0,541.0,18.0,1818.0,32.0,9.0,3332.0,1.0
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,KEVIN SABELLICO,,1063.0,450.0,15.0,1513.0,32.0,9.0,3332.0,
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 2,ANGELICA S. MARTINEZ,,3662.0,1551.0,52.0,5213.0,81.0,24.0,8434.0,1.0
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 2,ADRIAN E. ARANCIBIA,,2262.0,958.0,32.0,3220.0,81.0,24.0,8434.0,
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,"RODOLFO ""RUDY"" LOPEZ",,2716.0,1151.0,38.0,3867.0,63.0,18.0,6560.0,1.0
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,OLGA ESPINOZA,,1891.0,801.0,26.0,2692.0,63.0,18.0,6560.0,
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,TRAVIS LYON,,862.0,366.0,12.0,1228.0,22.0,6.0,2290.0,2.0
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,CEE GOULD,,525.0,223.0,7.0,748.0,22.0,6.0,2290.0,
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,JOSEPH PERRICONE,,150.0,64.0,2.0,214.0,22.0,6.0,2290.0,
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,ERIKA SIMMONS,,69.0,30.0,0.0,99.0,22.0,6.0,2290.0,
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3 (Short Term),DINA POLUS,,789.0,335.0,11.0,1124.0,17.0,5.0,1770.0,1.0
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3 (Short Term),"EMILY ""LILY"" SCHWORM",,453.0,192.0,6.0,645.0,17.0,5.0,1770.0,
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,JIM MILLER,,1169.0,495.0,16.0,1664.0,42.0,12.0,4373.0,1.0
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ODAY YOUSIF,,986.0,418.0,14.0,1404.0,42.0,12.0,4373.0,
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ALEX WELLING,,916.0,388.0,13.0,1304.0,42.0,12.0,4373.0,
CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER,RICHARD BROCCHINI,,307.0,130.0,4.0,437.0,9.0,2.0,937.0,2.0
CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER,NANCY ORR,,215.0,92.0,3.0,307.0,9.0,2.0,937.0,
CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER,RHEA STEWART,,134.0,57.0,1.0,191.0,9.0,2.0,937.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2,SHARMANE ESTOLANO,,9869.0,4179.0,140.0,14048.0,234.0,70.0,24367.0,1.0
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2,LUCY UGARTE,,7249.0,3069.0,103.0,10318.0,234.0,70.0,24367.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,FRANCISCO TAMAYO,,9646.0,4084.0,137.0,13730.0,234.0,70.0,24367.0,1.0
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,JESUS F. PARTIDA,,4148.0,1757.0,59.0,5905.0,234.0,70.0,24367.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,KATE BISHOP,,1887.0,800.0,26.0,2687.0,234.0,70.0,24367.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,ZENITH KHAN,,1085.0,460.0,15.0,1545.0,234.0,70.0,24367.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,TANYA WILLIAMS,,349.0,149.0,4.0,498.0,234.0,70.0,24367.0,
DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,HELEN DOYLE,,1303.0,553.0,18.0,1856.0,35.0,10.0,3644.0,2.0
DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,GEE WAH MOK,,808.0,343.0,11.0,1151.0,35.0,10.0,3644.0,
