Contest Name,Candidate Name,Party,Mail Ballots Votes,Vote Center Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Vote For
UNITED STATES REPRESENTATIVE 51ST DISTRICT,BILL WELLS,REP,55687.0,22139.0,778.0,77826.0,516.0,490.0,168966.0,
UNITED STATES REPRESENTATIVE 52ND DISTRICT,JUSTIN LEE,REP,68346.0,27171.0,955.0,95517.0,455.0,432.0,148992.0,1.0
UNITED STATES REPRESENTATIVE 52ND DISTRICT,JUAN VARGAS,DEM,38262.0,15212.0,534.0,53474.0,455.0,432.0,148992.0,
STATE SENATOR 39TH DISTRICT,BOB DIVINE,REP,97200.0,38642.0,1358.0,135842.0,664.0,630.0,217430.0,1.0
STATE SENATOR 39TH DISTRICT,AKILAH WEBER,DEM,58378.0,23209.0,815.0,81587.0,664.0,630.0,217430.0,
MEMBER OF THE STATE ASSEMBLY 74TH DISTRICT (SAN DIEGO PORTION ONLY),LAURIE DAVIES,REP,29855.0,11869.0,417.0,41724.0,222.0,210.0,72695.0,1.0
MEMBER OF THE STATE ASSEMBLY 74TH DISTRICT (SAN DIEGO PORTION ONLY),CHRIS DUNCAN,DEM,22160.0,8810.0,309.0,30970.0,222.0,210.0,72695.0,
MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT,CARL DEMAIO,REP,84587.0,33628.0,1182.0,118215.0,586.0,556.0,191888.0,1.0
MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT,ANDREW HAYES,REP,52715.0,20957.0,736.0,73672.0,586.0,556.0,191888.0,
MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT,DARSHANA PATEL,DEM,82478.0,32790.0,1152.0,115268.0,554.0,526.0,181410.0,1.0
MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT,KRISTIE BRUCE-LANE,REP,47326.0,18815.0,661.0,66141.0,554.0,526.0,181410.0,
MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT,JAMES BROWNE,REP,51262.0,20380.0,716.0,71642.0,361.0,342.0,118211.0,1.0
MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT,TASHA BOERNER,DEM,33321.0,13247.0,465.0,46568.0,361.0,342.0,118211.0,
MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT,CHRIS WARD,DEM,72400.0,28783.0,1011.0,101183.0,309.0,293.0,101183.0,1.0
MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT,COLIN PARENT,DEM,39411.0,15668.0,550.0,55079.0,321.0,304.0,105113.0,1.0
MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT,LASHAE SHARP-COLLINS,DEM,35800.0,14233.0,500.0,50033.0,321.0,304.0,105113.0,
MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT,DAVID A. ALVAREZ,DEM,45345.0,18027.0,633.0,63372.0,316.0,300.0,103475.0,1.0
MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT,MICHAEL W. WILLIAMS,REP,28694.0,11408.0,401.0,40102.0,316.0,300.0,103475.0,
COUNTY BOARD OF EDUCATION 1ST DISTRICT,GREGG ROBINSON,,85053.0,33813.0,1188.0,118866.0,363.0,344.0,118866.0,1.0
COUNTY BOARD OF EDUCATION 2ND DISTRICT,GUADALUPE GONZÁLEZ,,101455.0,40333.0,1417.0,141788.0,433.0,411.0,141788.0,1.0
COUNTY BOARD OF EDUCATION 4TH DISTRICT,ERIN EVANS,,111788.0,44441.0,1562.0,156229.0,753.0,715.0,246573.0,1.0
COUNTY BOARD OF EDUCATION 4TH DISTRICT,SARAH SONG,,64644.0,25699.0,903.0,90343.0,753.0,715.0,246573.0,
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,LEE QUINN,,19113.0,7599.0,267.0,26712.0,134.0,127.0,43879.0,1.0
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,ELENA ADAMS,,12282.0,4884.0,171.0,17166.0,134.0,127.0,43879.0,
MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ANN CROSBIE,,6267.0,2492.0,87.0,8759.0,51.0,48.0,16700.0,1.0
MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ALEXANDER THOMAS WELLS III,,5681.0,2259.0,79.0,7940.0,51.0,48.0,16700.0,
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,YVETTE MARIE ACOSTA,,22236.0,8840.0,310.0,31076.0,150.0,142.0,49118.0,1.0
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,EDWARD POHLERT,,12909.0,5132.0,180.0,18041.0,150.0,142.0,49118.0,
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,HOLLY M. HAMILTON-BLEAKLEY,,30132.0,11979.0,421.0,42111.0,231.0,219.0,75642.0,1.0
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,AMI ADMIRE,,23346.0,9282.0,326.0,32628.0,231.0,219.0,75642.0,
PALOMAR COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,MICHELLE RAINS,,645.0,257.0,9.0,902.0,231.0,219.0,75642.0,
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D",MARIAH JAMESON,,14561.0,5789.0,203.0,20350.0,118.0,112.0,38639.0,1.0
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D",ANDREW GOMEZ II,,13085.0,5203.0,182.0,18288.0,118.0,112.0,38639.0,
SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,ERIKA LOWERY,,7985.0,3175.0,111.0,11160.0,58.0,55.0,18992.0,1.0
SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,"KRISTINE ""KRIS"" GALICIA BROWN",,5603.0,2228.0,78.0,7831.0,58.0,55.0,18992.0,
BONSALL UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,LINDSAY  JONES,,2113.0,841.0,29.0,2954.0,14.0,13.0,4584.0,1.0
BONSALL UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,ERIC ORTEGA,,1165.0,464.0,16.0,1629.0,14.0,13.0,4584.0,
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,MARTHA DEICHLER,,523.0,209.0,7.0,732.0,5.0,4.0,1637.0,3.0
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,STEVE DUNN,,297.0,119.0,4.0,416.0,5.0,4.0,1637.0,
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,STEVE RIEHLE,,226.0,90.0,3.0,316.0,5.0,4.0,1637.0,
BORREGO SPRINGS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,PETER KELLNER,,121.0,49.0,1.0,170.0,5.0,4.0,1637.0,
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,ALISON EMERY,,2277.0,906.0,31.0,3183.0,18.0,17.0,5894.0,1.0
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JEN BELNAP,,1939.0,771.0,27.0,2710.0,18.0,17.0,5894.0,
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,EJEHAN TURKER,,2182.0,868.0,30.0,3050.0,16.0,15.0,5239.0,1.0
CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,LAURA SIAOSI,,1565.0,623.0,21.0,2188.0,16.0,15.0,5239.0,
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,"FITZHUGH ""FITZ"" LEE",,1102.0,439.0,15.0,1541.0,9.0,8.0,2947.0,2.0
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,RENEE CAVANAUGH,,840.0,335.0,11.0,1175.0,9.0,8.0,2947.0,
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,SHAWNEE BARTON MERRIMAN,,150.0,61.0,2.0,211.0,9.0,8.0,2947.0,
CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,BILL SANDKE,,12.0,5.0,0.0,17.0,9.0,8.0,2947.0,
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,ELEANOR  EVANS,,2985.0,1188.0,41.0,4173.0,23.0,21.0,7531.0,1.0
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,EMILY ORTIZ WICHMANN,,2402.0,955.0,33.0,3357.0,23.0,21.0,7531.0,
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ROSIE HIGUERA,,2432.0,967.0,33.0,3399.0,18.0,17.0,5894.0,1.0
OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,MIKE BLESSING,,1784.0,710.0,24.0,2494.0,18.0,17.0,5894.0,
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,TIM DOUGHERTY,,5506.0,2190.0,76.0,7696.0,42.0,39.0,13753.0,1.0
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,DEVESH VASHISHTHA,,4333.0,1723.0,60.0,6056.0,42.0,39.0,13753.0,
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,CRAIG POND,,4609.0,1833.0,64.0,6442.0,31.0,29.0,10151.0,1.0
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,DAVID CHENG,,2044.0,813.0,28.0,2857.0,31.0,29.0,10151.0,
POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E,CINDY SYTSMA,,608.0,243.0,8.0,851.0,31.0,29.0,10151.0,
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,DAWN PERFECT,,740.0,295.0,10.0,1035.0,5.0,4.0,1637.0,1.0
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,STEPHANIE COOTER,,430.0,171.0,6.0,601.0,5.0,4.0,1637.0,
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,DARYN DRUM,,751.0,299.0,10.0,1050.0,5.0,4.0,1637.0,1.0
RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,JOHN RAJCIC,,419.0,167.0,5.0,586.0,5.0,4.0,1637.0,
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A",CRYSTAL TRULL,,18848.0,7494.0,263.0,26342.0,126.0,119.0,41259.0,1.0
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A",SABRINA BAZZO,,10673.0,4243.0,149.0,14916.0,126.0,119.0,41259.0,
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D",RICHARD BARRERA,,29756.0,11830.0,415.0,41586.0,127.0,120.0,41586.0,1.0
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E",SHARON D. WHITEHURST-PAYNE,,26007.0,10340.0,363.0,36347.0,111.0,105.0,36347.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,HEIDI HERRICK,,5931.0,2359.0,82.0,8290.0,41.0,38.0,13425.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A,CARLOS ULLOA,,3673.0,1461.0,51.0,5134.0,41.0,38.0,13425.0,
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B,SARAH AHMAD,,5033.0,2002.0,70.0,7035.0,34.0,32.0,11133.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B,BRITTANY BOWER,,2931.0,1166.0,40.0,4097.0,34.0,32.0,11133.0,
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D,LENA LAUER MEUM,,4415.0,1756.0,61.0,6171.0,31.0,29.0,10151.0,1.0
SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D,JAIME CHAMBERLIN,,2847.0,1132.0,39.0,3979.0,31.0,29.0,10151.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,MIKE MARKOV,,5707.0,2269.0,79.0,7976.0,41.0,38.0,13425.0,1.0
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,"AMANDA ""MANDY"" REMMEN",,3898.0,1550.0,54.0,5448.0,41.0,38.0,13425.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,ZULEMA GOMEZ,,2787.0,1108.0,38.0,3895.0,21.0,19.0,6876.0,1.0
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,CIPRIANO VARGAS,,1789.0,712.0,25.0,2501.0,21.0,19.0,6876.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,FRANK NUNEZ,,342.0,136.0,4.0,478.0,21.0,19.0,6876.0,
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,SUE MARTIN,,4330.0,1722.0,60.0,6052.0,32.0,30.0,10478.0,1.0
VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,"ANTHONY ""TJ"" CROSSMAN",,3166.0,1259.0,44.0,4425.0,32.0,30.0,10478.0,
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,GENE DOXEY,,662.0,264.0,9.0,926.0,6.0,5.0,1964.0,3.0
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,DEBORAH CASTEEL,,364.0,145.0,5.0,509.0,6.0,5.0,1964.0,
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,MELISSA KROGH,,193.0,78.0,2.0,271.0,6.0,5.0,1964.0,
WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER,MELODY SEES,,183.0,74.0,2.0,257.0,6.0,5.0,1964.0,
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,CLAY BROWN,,7971.0,3169.0,111.0,11140.0,53.0,50.0,17355.0,1.0
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3,CHRISTI  KNIGHT,,4446.0,1768.0,62.0,6214.0,53.0,50.0,17355.0,
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,DARA CZERWONKA,,7203.0,2864.0,100.0,10067.0,55.0,52.0,18010.0,1.0
ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,RYAN S. WILLIAMS,,5682.0,2260.0,79.0,7942.0,55.0,52.0,18010.0,
FALLBROOK UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,JOSHUA TILLER,,1340.0,534.0,18.0,1874.0,9.0,8.0,2947.0,1.0
FALLBROOK UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,OSCAR CARALAMPIO,,767.0,305.0,10.0,1072.0,9.0,8.0,2947.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,CHRIS FITE,,7927.0,3152.0,110.0,11079.0,76.0,72.0,24886.0,1.0
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,RANDALL DEAR,,6701.0,2664.0,93.0,9365.0,76.0,72.0,24886.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,DEBRA HARRINGTON,,2116.0,842.0,29.0,2958.0,76.0,72.0,24886.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1,AZURE CHRISAWN,,1059.0,422.0,14.0,1481.0,76.0,72.0,24886.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,SCOTT ECKERT,,14881.0,5917.0,207.0,20798.0,79.0,75.0,25868.0,1.0
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,MARSHA J. CHRISTMAN,,2221.0,883.0,31.0,3104.0,79.0,75.0,25868.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JIM STIERINGER,,1260.0,501.0,17.0,1761.0,79.0,75.0,25868.0,
GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JAY STEIGER,,145.0,58.0,2.0,203.0,79.0,75.0,25868.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,ERIK FLEET,,2004.0,797.0,28.0,2801.0,19.0,18.0,6221.0,2.0
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,CAROL M. FRAUSTO,,999.0,398.0,13.0,1397.0,19.0,18.0,6221.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,BRITNI A MUSHET,,648.0,259.0,9.0,907.0,19.0,18.0,6221.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,MIKE CHARLONNE,,419.0,167.0,5.0,586.0,19.0,18.0,6221.0,
JULIAN UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER,ADRYENN CANTOR,,376.0,150.0,5.0,526.0,19.0,18.0,6221.0,
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,KELLY FRIIS,,7910.0,3145.0,110.0,11055.0,54.0,51.0,17682.0,1.0
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2,JODIE WILLIAMS,,4741.0,1885.0,66.0,6626.0,54.0,51.0,17682.0,
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,MICHAEL ALLMAN,,3908.0,1555.0,54.0,5463.0,32.0,30.0,10478.0,1.0
SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4,KEVIN SABELLICO,,3587.0,1427.0,50.0,5014.0,32.0,30.0,10478.0,
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 2,ANGELICA S. MARTINEZ,,11390.0,4529.0,159.0,15919.0,81.0,76.0,26523.0,1.0
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 2,ADRIAN E. ARANCIBIA,,7586.0,3017.0,106.0,10603.0,81.0,76.0,26523.0,
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,"RODOLFO ""RUDY"" LOPEZ",,7727.0,3073.0,108.0,10800.0,63.0,59.0,20629.0,1.0
SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4,OLGA ESPINOZA,,7032.0,2796.0,98.0,9828.0,63.0,59.0,20629.0,
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,TRAVIS LYON,,2622.0,1043.0,36.0,3665.0,22.0,20.0,7204.0,2.0
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,CEE GOULD,,1917.0,763.0,26.0,2680.0,22.0,20.0,7204.0,
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,JOSEPH PERRICONE,,438.0,175.0,6.0,613.0,22.0,20.0,7204.0,
ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,ERIKA SIMMONS,,175.0,70.0,2.0,245.0,22.0,20.0,7204.0,
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3 (Short Term),DINA POLUS,,2530.0,1007.0,35.0,3537.0,17.0,16.0,5566.0,1.0
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3 (Short Term),"EMILY ""LILY"" SCHWORM",,1451.0,577.0,20.0,2028.0,17.0,16.0,5566.0,
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,JIM MILLER,,6814.0,2710.0,95.0,9524.0,42.0,39.0,13753.0,1.0
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ODAY YOUSIF,,2694.0,1071.0,37.0,3765.0,42.0,39.0,13753.0,
CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5,ALEX WELLING,,330.0,132.0,4.0,462.0,42.0,39.0,13753.0,
CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER,RICHARD BROCCHINI,,1338.0,532.0,18.0,1870.0,9.0,8.0,2947.0,2.0
CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER,NANCY ORR,,753.0,300.0,10.0,1053.0,9.0,8.0,2947.0,
CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER,RHEA STEWART,,15.0,7.0,0.0,22.0,9.0,8.0,2947.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2,SHARMANE ESTOLANO,,31174.0,12394.0,435.0,43568.0,234.0,222.0,76624.0,1.0
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2,LUCY UGARTE,,23652.0,9403.0,330.0,33055.0,234.0,222.0,76624.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,FRANCISCO TAMAYO,,17618.0,7005.0,246.0,24623.0,234.0,222.0,76624.0,1.0
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,JESUS F. PARTIDA,,15938.0,6337.0,222.0,22275.0,234.0,222.0,76624.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,KATE BISHOP,,9546.0,3795.0,133.0,13341.0,234.0,222.0,76624.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,ZENITH KHAN,,9106.0,3621.0,127.0,12727.0,234.0,222.0,76624.0,
CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4,TANYA WILLIAMS,,2616.0,1040.0,36.0,3656.0,234.0,222.0,76624.0,
DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER,HELEN DOYLE,,3566.0,1419.0,49.0,4985.0,35.0,33.0,11460.0,2.0
